Name,Auto,Heating,Concentration,Batch,Sample,Trial,Thickness,Elastic Modulus,Yield Strength,Creep Strain,Plateau Slope,Densification Slope,Changepoint,Fit,Average Standard Deviation
Auto_noheating_10wt_3_1_1,True,False,10.0,3,1,1,109.0,76.72873296258506,8.035941187848668,,40.371877456124224,990.4558132505468,0.728570845296649,True,53.797772229227874
Auto_noheating_10wt_3_1_2,True,False,10.0,3,1,2,113.0,86.01074950190831,8.854239159377531,,48.65341970788847,931.3967208284574,0.703093736401807,True,53.797772229227874
Auto_noheating_10wt_3_1_3,True,False,10.0,3,1,3,107.0,84.67239991066648,8.199866652184697,,48.443704119103586,977.255772383188,0.6832896286491453,True,53.797772229227874
Auto_noheating_10wt_3_1_4,True,False,10.0,3,1,4,106.0,134.93904587488015,88.74271742690648,,795.6325831189018,-69.85002883541532,0.7881294222224279,False,53.797772229227874
Auto_noheating_12wt_3_1_1,True,False,11.63,3,1,1,107.0,88.26847726460011,8.67003279708993,,43.70813334621138,892.5346166242596,0.6642713253956326,True,52.82972029577995
Auto_noheating_12wt_3_1_2,True,False,11.63,3,1,2,110.0,99.22705363314195,10.40513621056719,,47.190256642205526,925.4541924975864,0.6721542437169256,True,52.82972029577995
Auto_noheating_12wt_3_1_3,True,False,11.63,3,1,3,112.0,102.49529617439975,10.469522849919795,,50.65500608346681,950.2385497977504,0.6864166394637732,True,52.82972029577995
Auto_noheating_12wt_3_1_4,True,False,11.63,3,1,4,112.0,102.24073783212091,10.442484729550252,,44.56584651096612,974.2472228545583,0.6803651068601827,True,52.82972029577995
Auto_noheating_17wt_3_1_1,True,False,17.0,3,1,1,110.0,162.47498767467286,105.22505159265111,,-1997.4746591557587,424.5072255694088,0.6781266360266546,False,47.949064004405464
Auto_noheating_17wt_3_1_4,True,False,17.0,3,1,4,105.0,196.0070971146945,11.38156782810254,,171.8731136475393,657.6783582703284,0.6404888784771029,True,47.949064004405464
Auto_noheating_10wt_4_1_1,True,False,10.0,4,1,1,105.0,36.62528995082126,16.753257156220634,,623.4466191232328,2988.814454007076,0.5885344181702766,False,47.62788869411642
Auto_noheating_10wt_4_1_2,True,False,10.0,4,1,2,105.0,12.805485987745978,1.9866363368980613,,19.055874560429324,1432.6616626214395,0.7529416112983911,False,47.62788869411642
Auto_noheating_12wt_4_1_1,True,False,11.63,4,1,1,111.0,40.366795961674654,3.1060657649846783,,20.174625715795738,1108.9211141364594,0.9030598620204426,True,57.5630022537426
Auto_noheating_12wt_4_1_2,True,False,11.63,4,1,2,108.0,30.596605871250286,7.201065928721093,,21.408474589389723,1485.942576042369,0.9005292195601802,True,57.5630022537426
Auto_noheating_12wt_4_1_3,True,False,11.63,4,1,3,104.0,35.40791750377449,5.433136736905794,,24.217241339238246,1836.2902362418256,0.8109790625747167,True,57.5630022537426
Auto_noheating_12wt_4_1_4,True,False,11.63,4,1,4,104.0,41.702828736999145,10.678335957449796,,24.870817295518773,1511.0353868605143,0.6923921958493672,True,57.5630022537426
Auto_noheating_12wt_4_1_5,True,False,11.63,4,1,5,102.0,47.59912327131829,4.874622928236995,,26.64054332644469,1294.378967824303,0.6502763401403505,True,57.5630022537426
Auto_noheating_15wt_4_1_1,True,False,14.43,4,1,1,109.0,124.50590310136297,10.689912397203521,,54.75260718471813,967.1425654247206,0.6194187693838774,True,52.62049976014764
Auto_noheating_15wt_4_1_2,True,False,14.43,4,1,2,103.0,122.90369262565339,10.777045306956335,,54.6327225462409,937.9163491195646,0.6146915756018767,True,52.62049976014764
Auto_noheating_15wt_4_1_3,True,False,14.43,4,1,3,100.0,116.57828723504318,10.922881619140874,,52.60271535850004,945.0730294950881,0.6441076573250063,True,52.62049976014764
Auto_noheating_15wt_4_1_4,True,False,14.43,4,1,4,100.0,116.66359917707327,10.576482059127535,,51.763950261435,890.549752583834,0.6364876717811676,True,52.62049976014764
Auto_noheating_17wt_4_1_1,True,False,17.0,4,1,1,109.0,182.63151496215426,14.814938340845625,,77.59955178377069,829.7590988672923,0.5748545282151559,True,48.10653257377453
Auto_noheating_17wt_4_1_2,True,False,17.0,4,1,2,106.0,176.30308605004956,13.893440630096109,,73.75195675255924,843.7407795232698,0.590347909407192,True,48.10653257377453
Auto_noheating_17wt_4_1_3,True,False,17.0,4,1,3,106.0,176.74828291253903,14.609369975468978,,74.77954393894684,879.0898119302542,0.5887291042945337,True,48.10653257377453
Auto_noheating_17wt_4_1_4,True,False,17.0,4,1,4,105.0,180.2122869486279,14.698777716900722,,75.57758736107951,794.8298729147143,0.5821778314843291,True,48.10653257377453
Auto_noheating_10wt_5_1_1,True,False,10.0,5,1,1,117.0,24.082113425797925,22.614310923672818,,84.88810760350039,2152.9732199563623,1.0674246358491273,False,52.56128457088267
Auto_noheating_10wt_5_1_2,True,False,10.0,5,1,2,142.0,45.27730382751826,15.71358783049855,,48.78311278347731,1453.2401097095437,0.8899797011671476,True,52.56128457088267
