Iteration,Experiment Index,Observed Elastic Modulus,UCB Score,Mean Prediction,Standard Deviation,Max Modulus in Dataset,Stopping Reason
0,14,39.58562154046682,,,,296.35081017123304,Initial selection
1,24,98.05789122606569,381.34120409182236,5.351624692812863,31.332464949917455,296.35081017123304,Continuing
2,42,179.2410423946837,391.6706829525777,21.8443302294409,30.818862726928064,296.35081017123304,Continuing
3,47,188.55697291016554,399.774724327708,42.25961540888613,29.792925743235152,296.35081017123304,Continuing
4,71,270.69323356331364,429.00563316852913,76.31521851941343,29.390867887426307,296.35081017123304,Continuing
5,72,189.44122006132594,455.1016733729483,142.0154710571854,26.090516859646904,296.35081017123304,Continuing
6,53,228.31076155204596,429.3802293367197,88.76254566204132,28.384806972889866,296.35081017123304,Continuing
7,58,211.50865412415317,437.5679826567818,111.53498639102041,27.169416355480113,296.35081017123304,Continuing
8,57,296.35081017123304,399.7710573067268,204.5840687226279,16.265582382008244,296.35081017123304,Max modulus reached
