Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,69,110.69482106635698,567.33246,104.211655,296.35081017123304,Continuing
2,58,211.5086541241532,192.36308,7.996955,296.35081017123304,Continuing
3,59,219.61643412334288,217.72542,12.4506035,296.35081017123304,Continuing
4,8,242.7128680778461,203.4701,26.344782,296.35081017123304,Continuing
5,9,233.7243724057668,247.72719,35.97982,296.35081017123304,Continuing
6,0,81.74085575257114,167.7894,30.634499,296.35081017123304,Continuing
7,55,168.33383829683325,210.97351,21.334768,296.35081017123304,Continuing
8,57,296.35081017123304,230.70482,22.805677,296.35081017123304,Max Elastic Modulus reached
